Page,Title,Link
3,"Dawn Of The Planet Of The Apes (2014) UHD Bluray REMUX 2160p HEVC DTS-HD MA 7.1-HUS",https://hduse.net/topic-dawn-of-the-planet-of-the-apes-2014-uhd-bluray-remux-2160p-hevc-dts-hd-ma-7-1-hus.html
3,"Cat's Eye 1985 2160p UHD Blu-ray Remux HEVC DV DTS-HD MA 5.1-HDT",https://hduse.net/topic-cat-s-eye-1985-2160p-uhd-blu-ray-remux-hevc-dv-dts-hd-ma-5-1-hdt-31712.html
3,"Ray Donovan The Movie 2022 2160p UHD Blu-ray Remux HEVC DTS-HD MA 5.1-HDT",https://hduse.net/topic-ray-donovan-the-movie-2022-2160p-uhd-blu-ray-remux-hevc-dts-hd-ma-5-1-hdt-31710.html
3,"Wild Things 1998 Unrated 2160p UHD Blu-ray Remux HEVC DV DTS-HD MA 5.1 - KRaLiMaRKo",https://hduse.net/topic-wild-things-1998-unrated-2160p-uhd-blu-ray-remux-hevc-dv-dts-hd-ma-5-1-kralimarko-31595.html
3,"VFW 2019 2160p UHD Blu-ray Remux HEVC DTS-HD MA 5.1-HDT",https://hduse.net/topic-vfw-2019-2160p-uhd-blu-ray-remux-hevc-dts-hd-ma-5-1-hdt-31555.html
3,"Close Encounters of the Third Kind 1977 Theatrical 2160p UHD Blu-ray Remux HEVC DTS-H",https://hduse.net/topic-close-encounters-of-the-third-kind-1977-theatrical-2160p-uhd-blu-ray-remux-hevc-dts-h-31553.html
4,"The Man Who Shot Liberty Valance 1962 2160p UHD Blu-ray Remux HEVC DV TrueHD 5 1-HDT",https://hduse.net/topic-the-man-who-shot-liberty-valance-1962-2160p-uhd-blu-ray-remux-hevc-dv-truehd-5-1-hdt-31502.html
4,"Beverly Hills Cop II 2160p UHD Blu-ray Remux HEVC DV DTS-HD MA 5.1 - KRaLiMaRKo",https://hduse.net/topic-beverly-hills-cop-ii-2160p-uhd-blu-ray-remux-hevc-dv-dts-hd-ma-5-1-kralimarko-31492.html
4,"The Craft 1996 2160p UHD Blu-ray Remux HEVC DV DTS-HD MA 5.1-HDT",https://hduse.net/topic-the-craft-1996-2160p-uhd-blu-ray-remux-hevc-dv-dts-hd-ma-5-1-hdt-31490.html
4,"The Batman 2022 UHD BluRay 2160p TrueHD Atmos 7.1 DV HEVC REMUX-FraMeSToR",https://hduse.net/topic-the-batman-2022-uhd-bluray-2160p-truehd-atmos-7-1-dv-hevc-remux-framestor-31460.html
4,"Jigsaw 2017 2160p UHD BluRay REMUX HDR HEVC Atmos-EPSiLON",https://hduse.net/topic-jigsaw-2017-2160p-uhd-bluray-remux-hdr-hevc-atmos-epsilon-31261.html
4,"Family Plot 1976 2160p BluRay REMUX HEVC DTS-HD MA 2 0-FGT",https://hduse.net/topic-family-plot-1976-2160p-bluray-remux-hevc-dts-hd-ma-2-0-fgt-31259.html
